open_dt,close_dt,volume,pnl,pnl_pips,direction,entry_price,exit_price,max_dd,duration_bars,balance,regime,wfo_fold,wfo_train_range
2015-06-23 01:00:00,2015-06-23 03:00:00,97003.72631520384,-622.6022500664164,-563.0000000000024,buy,1.13202,1.12639,663.0000000000135,2,9078.578745839926,5,2015,2012-2014
2015-06-28 21:00:00,2015-06-29 07:00:00,90785.78745839928,928.5872960536632,838.9999999999897,buy,1.0986,1.10699,330.000000000008,10,10010.948783037687,5,2015,2012-2014
2015-08-17 09:00:00,2015-08-18 05:00:00,100109.48783037688,-430.8044959633746,-364.99999999999307,buy,1.10937,1.10572,428.9999999999905,20,9588.486744393513,5,2015,2012-2014
2015-08-26 18:00:00,2015-08-27 11:00:00,95884.86744393512,-625.2492397906639,-419.9999999999981,buy,1.13469,1.13049,723.0000000000069,17,8970.02934938013,5,2015,2012-2014
2015-08-30 21:00:00,2015-08-31 04:00:00,89700.29349380129,606.4487342626841,754.0000000000101,buy,1.11754,1.12508,14.999999999987244,7,9579.094342203049,5,2015,2012-2014
2015-09-03 14:00:00,2015-09-04 18:00:00,95790.94342203048,639.244895769672,530.9999999999925,buy,1.10945,1.11476,78.00000000000028,28,10229.51484803862,5,2015,2012-2014
2015-09-16 10:00:00,2015-09-16 13:00:00,102295.1484803862,418.1314194135808,548.9999999999994,buy,1.12228,1.12777,95.99999999998498,3,10648.924956808203,5,2015,2012-2014
2015-09-21 14:00:00,2015-09-22 14:00:00,106489.24956808204,-493.0452255002322,-604.0000000000044,buy,1.11928,1.11324,565.9999999999998,24,10166.528656264778,5,2015,2012-2014
2015-09-30 14:00:00,2015-10-02 13:00:00,101665.2865626478,1182.7908880842751,1221.0000000000052,buy,1.11645,1.12866,302.0000000000022,47,11369.228996300908,5,2015,2012-2014
2015-10-19 10:00:00,2015-10-20 10:00:00,113692.28996300908,513.8891506328122,609.000000000015,buy,1.132,1.13809,148.99999999999912,24,11894.487375930024,5,2015,2012-2014
2015-10-22 10:00:00,2015-10-22 13:00:00,118944.87375930026,-1439.53033467192,-1573.000000000002,buy,1.13134,1.11561,1360.0000000000057,3,10456.443852180098,5,2015,2012-2014
2015-12-15 15:00:00,2015-12-17 00:00:00,104564.43852180098,-549.7475355283672,-463.9999999999977,buy,1.09206,1.08742,556.0000000000009,33,9921.073926948477,5,2015,2012-2014
2015-12-17 00:00:00,2015-12-17 17:00:00,99210.73926948477,-730.2737166394647,-561.0000000000115,buy,1.08742,1.08181,710.0000000000106,17,9197.82763767393,5,2015,2012-2014
2015-12-30 10:00:00,2015-12-31 12:00:00,91978.27637673932,-322.69045295506425,-391.000000000008,buy,1.09217,1.08826,347.0000000000084,26,8885.101497993013,5,2015,2012-2014
2015-12-31 12:00:00,2015-12-31 17:00:00,88851.01497993014,-252.4109250554863,-175.99999999999835,buy,1.08826,1.0865,300.9999999999957,5,8634.541635749609,5,2015,2012-2014
2016-02-22 09:00:00,2016-02-22 11:00:00,100000.0,-213.83333333332695,-469.0000000000082,buy,1.10807,1.10338,254.0000000000209,2,9787.000000000007,5,2016,2013-2015
2016-02-22 21:00:00,2016-02-23 10:00:00,97870.00000000007,-285.2094916666506,-165.99999999999946,buy,1.10275,1.10109,366.999999999984,13,9507.091800000024,1,2016,2013-2015
2016-02-23 10:00:00,2016-02-23 12:00:00,95070.91800000024,-215.652532329991,-7.999999999985795,buy,1.10109,1.10101,202.9999999999976,2,9292.231525320032,1,2016,2013-2015
2016-03-02 13:00:00,2016-03-02 16:00:00,92922.31525320032,-184.21848998946948,5.000000000010552,buy,1.08429,1.08434,180.9999999999867,3,9109.174564271229,1,2016,2013-2015
2016-03-09 09:00:00,2016-03-09 14:00:00,91091.74564271228,-214.14151204842184,-65.00000000000394,buy,1.09698,1.09633,226.9999999999994,5,8896.930796923694,1,2016,2013-2015
2016-03-10 09:00:00,2016-03-10 13:00:00,88969.30796923695,-1111.819785255566,-473.9999999999966,buy,1.09667,1.09193,1238.0000000000057,4,7786.593833467617,1,2016,2013-2015
2016-03-15 20:00:00,2016-03-16 07:00:00,77865.93833467618,-153.85011649292775,-208.9999999999925,buy,1.11072,1.10863,209.99999999999903,11,7636.312572481694,1,2016,2013-2015
2016-03-22 00:00:00,2016-03-22 09:00:00,76363.12572481694,-300.6798075414656,-309.0000000000037,buy,1.1236,1.12051,483.9999999999955,9,7338.496382154908,5,2016,2013-2015
2016-03-22 12:00:00,2016-03-22 14:00:00,73384.96382154908,-26.296278702724948,73.99999999999629,buy,1.12239,1.12313,228.000000000006,2,7312.811644817362,5,2016,2013-2015
2016-03-28 12:00:00,2016-03-28 15:00:00,73128.11644817362,231.6333088495892,280.9999999999979,buy,1.11796,1.12077,7.000000000001449,3,7545.359055122552,6,2016,2013-2015
2016-04-05 08:00:00,2016-04-05 15:00:00,75453.59055122553,44.580496417356166,117.00000000001153,buy,1.13659,1.13776,307.9999999999972,7,7592.14028126432,1,2016,2013-2015
