freq_mode,max_trades_per_5days,hourly_noise,daily_noise,profit,num_trades,win_pct,max_dd
low_freq,3,0.0005,0.004,402677.9145136754,167,70.05988023952095,1292.000000000004
low_freq,3,0.0005,0.005,407955.7230269207,180,68.33333333333333,1292.000000000004
low_freq,3,0.0005,0.007,245515.75358184893,150,61.33333333333333,1292.000000000004
low_freq,3,0.0005,0.01,165185.73976579407,151,56.29139072847682,2549.000000000001
low_freq,3,0.001,0.0,273645.1770913438,214,58.87850467289719,257.0000000000183
low_freq,3,0.001,0.0005,331723.0951807115,218,61.00917431192661,275.000000000003
low_freq,3,0.001,0.001,374720.88758626767,199,65.82914572864321,329.0000000000015
low_freq,3,0.001,0.002,439926.6503595093,195,73.33333333333333,394.0000000000054
low_freq,3,0.001,0.003,443946.67143849144,179,68.71508379888269,1007.9999999999866
low_freq,3,0.001,0.004,420877.91451367585,167,69.46107784431138,1292.000000000004
low_freq,3,0.001,0.005,413234.0160357497,179,68.15642458100558,1292.000000000004
low_freq,3,0.001,0.007,263656.60973996064,150,62.66666666666667,1292.000000000004
low_freq,3,0.001,0.01,165474.846098817,151,56.29139072847682,2549.000000000001
low_freq,3,0.002,0.0,155339.52459308296,233,53.648068669527895,430.0000000000192
low_freq,3,0.002,0.0005,190451.28727639816,233,53.21888412017167,274.9999999999808
low_freq,3,0.002,0.001,232104.23456571274,219,58.9041095890411,329.0000000000015
low_freq,3,0.002,0.002,284350.4327031637,211,66.35071090047393,394.0000000000054
low_freq,3,0.002,0.003,352585.7020067305,183,64.48087431693989,1007.9999999999866
low_freq,3,0.002,0.004,352535.063973423,168,66.66666666666666,1292.000000000004
low_freq,3,0.002,0.005,387636.0720387144,179,67.59776536312849,1292.000000000004
low_freq,3,0.002,0.007,257191.7955917355,150,62.66666666666667,1292.000000000004
low_freq,3,0.002,0.01,175828.0118282112,152,56.57894736842105,2549.000000000001
low_freq,3,0.003,0.0,49691.326333585195,236,50.0,275.000000000003
low_freq,3,0.003,0.0005,47349.900934153935,236,50.847457627118644,326.00000000000404
low_freq,3,0.003,0.001,62648.68841060856,228,52.63157894736842,329.0000000000015
low_freq,3,0.003,0.002,202191.82590308925,220,61.81818181818181,490.99999999999693
low_freq,3,0.003,0.003,269867.6826477641,197,65.48223350253807,1007.9999999999866
low_freq,3,0.003,0.004,298620.70337254216,173,65.89595375722543,1292.000000000004
low_freq,3,0.003,0.005,366137.42252502043,179,65.92178770949721,1292.000000000004
low_freq,3,0.003,0.007,248515.92035476095,154,62.33766233766234,1292.000000000004
low_freq,3,0.003,0.01,174092.71788916603,150,56.666666666666664,2549.000000000001
low_freq,3,0.004,0.0,21979.868357517407,236,49.57627118644068,275.000000000003
low_freq,3,0.004,0.0005,17691.46543338208,236,50.42372881355932,275.000000000003
low_freq,3,0.004,0.001,11111.118690474774,233,49.78540772532189,490.99999999999693
low_freq,3,0.004,0.002,69460.07352308533,227,56.82819383259912,802.9999999999981
low_freq,3,0.004,0.003,186465.83415178955,209,62.67942583732058,1007.9999999999866
low_freq,3,0.004,0.004,232704.24909591133,179,65.36312849162012,1007.9999999999866
low_freq,3,0.004,0.005,300064.62390180037,189,62.43386243386243,1292.000000000004
low_freq,3,0.004,0.007,257896.8019810447,159,62.264150943396224,1292.000000000004
low_freq,3,0.004,0.01,169949.4358586055,154,55.84415584415584,2549.000000000001
low_freq,3,0.005,0.0,9846.75197866303,237,48.10126582278481,323.0000000000066
low_freq,3,0.005,0.0005,12939.770490772207,235,49.787234042553195,275.000000000003
low_freq,3,0.005,0.001,11573.946306348487,236,50.847457627118644,275.000000000003
low_freq,3,0.005,0.002,28444.339113428257,232,54.741379310344826,371.0000000000102
low_freq,3,0.005,0.003,83794.67841727287,221,53.84615384615385,865.0000000000045
low_freq,3,0.005,0.004,202811.64425872266,193,59.58549222797927,1007.9999999999866
low_freq,3,0.005,0.005,236443.94262816745,203,58.620689655172406,1292.000000000004
low_freq,3,0.005,0.007,233740.11089428305,163,60.73619631901841,1292.000000000004
low_freq,3,0.005,0.01,166179.78279703023,154,55.1948051948052,2549.000000000001
low_freq,3,0.007,0.0,6827.064142414252,236,48.728813559322035,323.0000000000066
low_freq,3,0.007,0.0005,7729.964027701761,238,50.0,323.0000000000066
low_freq,3,0.007,0.001,8267.632377522357,237,50.63291139240506,371.0000000000102
low_freq,3,0.007,0.002,11508.538467770792,237,52.742616033755276,275.000000000003
low_freq,3,0.007,0.003,20559.037926738034,231,51.94805194805194,337.0000000000095
low_freq,3,0.007,0.004,65569.80989828316,216,55.092592592592595,481.9999999999824
low_freq,3,0.007,0.005,103948.80520527891,216,54.629629629629626,720.0000000000094
low_freq,3,0.007,0.007,215742.73161964363,177,56.49717514124294,1292.000000000004
low_freq,3,0.007,0.01,160012.02150614985,154,53.246753246753244,2549.000000000001
low_freq,3,0.01,0.0,2541.2681523272186,240,48.333333333333336,275.000000000003
low_freq,3,0.01,0.0005,3347.586216673779,238,50.0,275.000000000003
low_freq,3,0.01,0.001,5103.119076141738,237,51.0548523206751,275.000000000003
low_freq,3,0.01,0.002,4966.147862411686,238,51.26050420168067,275.000000000003
low_freq,3,0.01,0.003,6839.79855752585,232,50.43103448275862,327.99999999999494
low_freq,3,0.01,0.004,3220.443146752077,227,47.57709251101321,368.00000000001273
low_freq,3,0.01,0.005,21506.292728897068,231,51.082251082251084,415.0000000000098
low_freq,3,0.01,0.007,101653.93434936402,195,55.38461538461539,848.0000000000042
low_freq,3,0.01,0.01,141953.18824543932,173,52.02312138728323,1839.999999999997
